xdata ydata 
0.0 1.388794386496407e-11 
0.01 3.7375713279442825e-11 
0.02 9.859505575991552e-11 
0.03 2.5493818803919876e-10 
0.04 6.461431773106131e-10 
0.05 1.6052280551856172e-09 
0.06 3.908938434264878e-09 
0.07 9.330287574505038e-09 
0.08 2.1829577951254933e-08 
0.09 5.006218020767049e-08 
0.1 1.1253517471925912e-07 
0.11 2.479596018045032e-07 
0.12 5.355347802793118e-07 
0.13 1.1337271387479703e-06 
0.14 2.3525752000097794e-06 
0.15 4.785117392129026e-06 
0.16 9.540162873079281e-06 
0.17 1.864374233151692e-05 
0.18 3.571284964163527e-05 
0.19 6.705482430281112e-05 
0.2 0.00012340980408667978 
0.21 0.00022262985691888897 
0.22 0.0003936690406550783 
0.23 0.0006823280527563772 
0.24 0.0011592291739045914 
0.25 0.001930454136227711 
0.26 0.003151111598444444 
0.27 0.005041760259690988 
0.28 0.007907054051593455 
0.29 0.012155178329914935 
0.3 0.01831563888873418 
0.31 0.027051846866350426 
0.32 0.0391638950989871 
0.33 0.055576212611483135 
0.34 0.07730474044329984 
0.35000000000000003 0.10539922456186453 
0.36 0.140858420921045 
0.37 0.18451952399298926 
0.38 0.23692775868212182 
0.39 0.2981972794298875 
0.4 0.36787944117144256 
0.41000000000000003 0.44485806622294144 
0.42 0.5272924240430485 
0.43 0.6126263941844161 
0.44 0.6976763260710311 
0.45 0.778800783071405 
0.46 0.8521437889662115 
0.47000000000000003 0.9139311852712284 
0.48 0.9607894391523232 
0.49 0.990049833749168 
0.5 1.0 
0.51 0.990049833749168 
0.52 0.9607894391523232 
0.53 0.9139311852712281 
0.54 0.8521437889662111 
0.55 0.7788007830714045 
0.56 0.6976763260710307 
0.5700000000000001 0.6126263941844156 
0.58 0.527292424043049 
0.59 0.44485806622294144 
0.6 0.36787944117144256 
0.61 0.2981972794298875 
0.62 0.23692775868212182 
0.63 0.18451952399298926 
0.64 0.140858420921045 
0.65 0.10539922456186433 
0.66 0.07730474044329971 
0.67 0.05557621261148304 
0.68 0.03916389509898703 
0.6900000000000001 0.027051846866350378 
0.7000000000000001 0.018315638888734147 
0.71 0.012155178329914968 
0.72 0.007907054051593455 
0.73 0.005041760259690988 
0.74 0.003151111598444444 
0.75 0.001930454136227711 
0.76 0.0011592291739045914 
0.77 0.0006823280527563772 
0.78 0.0003936690406550783 
0.79 0.00022262985691888897 
0.8 0.00012340980408667956 
0.81 6.705482430281101e-05 
0.8200000000000001 3.5712849641635144e-05 
0.8300000000000001 1.8643742331516787e-05 
0.84 9.540162873079281e-06 
0.85 4.785117392129026e-06 
0.86 2.3525752000097794e-06 
0.87 1.1337271387479703e-06 
0.88 5.355347802793118e-07 
0.89 2.479596018045032e-07 
0.9 1.1253517471925912e-07 
0.91 5.006218020767049e-08 
0.92 2.182957795125478e-08 
0.93 9.330287574505005e-09 
0.9400000000000001 3.90893843426485e-09 
0.9500000000000001 1.6052280551856059e-09 
0.96 6.461431773106154e-10 
0.97 2.5493818803919876e-10 
0.98 9.859505575991552e-11 
0.99 3.7375713279442825e-11 
